type;id;active;name;category;price_tex;id_tax_rules_group;wholesale_price;on_sale;reduction_price;reduction_percent;reduction_from;reduction_to;reference;supplier_reference;supplier;manufacturer;ean13;upc;ecotax;width;height;depth;weight;quantity;minimal_quantity;visibility;additional_shipping_cost;unity;unit_price;description_short;description;tags;meta_title;meta_keywords;meta_description;link_rewrite;available_now;available_later;available_for_order;available_date;date_add;show_price;image;image_alt;delete_existing_images;features;online_only;condition;customizable;uploadable_files;text_fields;out_of_stock;is_virtual;file_url;nb_downloadable;date_expiration;product_url;categories_url
import_type;id_product;product_reference;group;attribute;supplier_reference;reference;ean13;upc;wholesale_price;price;ecotax;quantity;minimal_quantity;low_stock_threshold;low_stock_alert;weight;default_on;available_date;image_position;image_url;image_alt;shop;advanced_stock_management
PRODUCT;;1;Áo sơmi dài tay croptop;Áo;385000;1;;0;;;;;;;;20again;;;;;;;;100;1;;;;;;;;;;;;In Stock;;1;;;1;images/twentyAgain/full/d7ec14b88a53a95976905efe0912cf205bd03606.jpg;Áo sơmi dài tay croptop;0;;0;new;0;0;0;0;0;0;0;0;https://20again.vn/catalog/product/view/id/15156/s/Ao-somi-croptop-B119N-ASA1907/category/116/#92=263;https://20again.vn/ao/san-pham-moi.html
COMBINATION;;Size:select:1;Size:12;2/S;2/S;;;;385000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;4/M;4/M;;;;385000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;6/L;6/L;;;;385000;;;;;;;;;;;;;;
PRODUCT;;1;Quần âu;Sản phẩm mới;385000;1;;0;;;;;;;;20again;;;;;;;;100;1;;;;;;;;;;;;In Stock;;1;;;1;images/twentyAgain/full/282eeabdd0e5a807529fa37cca4c17175f622882.jpg;Quần âu;0;;0;new;0;0;0;0;0;0;0;0;https://20again.vn/catalog/product/view/id/13491/s/Quan-au-B119N-QAA1699/category/124/#92=261;https://20again.vn/quan/san-pham-moi.html
PRODUCT;;1;Quần âu ống rộng;Sản phẩm mới;385000;1;;0;;;;;;;;20again;;;;;;;;100;1;;;;;;;;;;;;In Stock;;1;;;1;images/twentyAgain/full/f4f0582d6308b3e93e4287fa48feb981b3d63ed4.jpg;Quần âu ống rộng;0;;0;new;0;0;0;0;0;0;0;0;https://20again.vn/catalog/product/view/id/13495/s/Quan-au-B119N-QAA1701/category/124/#92=261;https://20again.vn/quan/san-pham-moi.html
PRODUCT;;1;Áo sơmi dài tay gấu tay loe;Áo;385000;1;;0;;;;;;;;20again;;;;;;;;100;1;;;;;;;;;;;;In Stock;;1;;;1;images/twentyAgain/full/81062a1ecec6d9febccc325a87ec741ebca928e6.jpg;Áo sơmi dài tay gấu tay loe;0;;0;new;0;0;0;0;0;0;0;0;https://20again.vn/catalog/product/view/id/15131/s/Ao-somi-dai-tay-B119N-ASA1796/category/116/#92=263;https://20again.vn/ao/san-pham-moi.html
COMBINATION;;Size:select:1;Size:12;2/S;2/S;;;;385000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;4/M;4/M;;;;385000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;6/L;6/L;;;;385000;;;;;;;;;;;;;;
PRODUCT;;1;Quần skinny jeans basic;Sản phẩm mới;385000;1;;0;;;;;;;;20again;;;;;;;;100;1;;;;;;;;;;;;In Stock;;1;;;1;images/twentyAgain/full/d3e62a8e5794de888c6ec93a13b3f3ffb8addda7.jpg;Quần skinny jeans basic;0;;0;new;0;0;0;0;0;0;0;0;https://20again.vn/catalog/product/view/id/14935/s/Quan-skinny-S219N-QSA055/category/124/#92=291;https://20again.vn/quan/san-pham-moi.html
COMBINATION;;Size:select:1;Size:12;;;;;;385000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;;;;;;385000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;;;;;;385000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;;;;;;385000;;;;;;;;;;;;;;
PRODUCT;;1;Áo sơmi dây rút tay;Áo;385000;1;;0;;;;;;;;20again;;;;;;;;100;1;;;;;;;;;;;;In Stock;;1;;;1;images/twentyAgain/full/175a08f084b1d062e281c0396164aa1052489214.jpg;Áo sơmi dây rút tay;0;;0;new;0;0;0;0;0;0;0;0;https://20again.vn/catalog/product/view/id/15145/s/Ao-somi-dai-tay-B119N-ASA1816/category/116/#92=263;https://20again.vn/ao/san-pham-moi.html
COMBINATION;;Size:select:1;Size:12;2/S;2/S;;;;385000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;4/M;4/M;;;;385000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;6/L;6/L;;;;385000;;;;;;;;;;;;;;
PRODUCT;;1;Quần shorts vải;Sản phẩm mới;325000;1;;0;;;;;;;;20again;;;;;;;;100;1;;;;;;;;;;;;In Stock;;1;;;1;images/twentyAgain/full/c88def1bf71579201cd9d3be0f6e9347baf8c379.jpg;Quần shorts vải;0;;0;new;0;0;0;0;0;0;0;0;https://20again.vn/catalog/product/view/id/15110/s/Quan-shorts-vai-B119H-SVA1933/category/124/#92=270;https://20again.vn/quan/san-pham-moi.html
COMBINATION;;Size:select:1;Size:12;2/S;2/S;;;;325000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;4/M;4/M;;;;325000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;6/L;6/L;;;;325000;;;;;;;;;;;;;;
PRODUCT;;1;Quần shorts vải;Sản phẩm mới;335000;1;;0;;;;;;;;20again;;;;;;;;100;1;;;;;;;;;;;;In Stock;;1;;;1;images/twentyAgain/full/2efba8921b6664433bf18f650c4f781ecced24cc.jpg;Quần shorts vải;0;;0;new;0;0;0;0;0;0;0;0;https://20again.vn/catalog/product/view/id/15100/s/Quan-shorts-B119H-SVA1760/category/124/#92=291;https://20again.vn/quan/san-pham-moi.html
COMBINATION;;Size:select:1;Size:12;2/S;2/S;;;;335000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;4/M;4/M;;;;335000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;6/L;6/L;;;;335000;;;;;;;;;;;;;;
PRODUCT;;1;Quần âu;Sản phẩm mới;385000;1;;0;;;;;;;;20again;;;;;;;;100;1;;;;;;;;;;;;In Stock;;1;;;1;images/twentyAgain/full/3292564fff41f5a5e11a1b088235fb420cc97bbc.jpg;Quần âu;0;;0;new;0;0;0;0;0;0;0;0;https://20again.vn/catalog/product/view/id/13499/s/Quan-au-B119N-QAA1702/category/124/#92=261;https://20again.vn/quan/san-pham-moi.html
COMBINATION;;Size:select:1;Size:12;2/S;2/S;;;;385000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;4/M;4/M;;;;385000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;6/L;6/L;;;;385000;;;;;;;;;;;;;;
PRODUCT;;1;Quần âu;Sản phẩm mới;499000;1;;0;;;;;;;;20again;;;;;;;;100;1;;;;;;;;;;;;In Stock;;1;;;1;images/twentyAgain/full/b3419a2393cee7c7cfcf8b9c98c6414d768c1c2f.jpg;Quần âu;0;;0;new;0;0;0;0;0;0;0;0;https://20again.vn/catalog/product/view/id/14801/s/Quan-au-C119N-QAA1921/category/124/#92=272;https://20again.vn/quan/san-pham-moi.html
COMBINATION;;Size:select:1;Size:12;2/S;2/S;;;;499000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;4/M;4/M;;;;499000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;6/L;6/L;;;;499000;;;;;;;;;;;;;;
PRODUCT;;1;Áo sơmi dài tay bèo nơ;Áo sơ mi;385000;1;;0;;;;;;;;20again;;;;;;;;100;1;;;;;;;;;;;;In Stock;;1;;;1;images/twentyAgain/full/c53e5a871d023f04da9daf448ebabd3fc44d6d1e.jpg;Áo sơmi dài tay bèo nơ;0;;0;new;0;0;0;0;0;0;0;0;https://20again.vn/catalog/product/view/id/14656/s/Ao-somi-dai-tay-beo-no-B119N-ASA1806/category/117/#92=291;https://20again.vn/ao/ao-so-mi.html
PRODUCT;;1;Quần sooc dạ;Quần sooc;355000;1;;0;;;;;;;;20again;;;;;;;;100;1;;;;;;;;;;;;In Stock;;1;;;1;images/twentyAgain/full/71cd2df99bd160d1a27253a0c702c1391fc6fa3e.jpg;Quần sooc dạ;0;;0;new;0;0;0;0;0;0;0;0;https://20again.vn/quan/quan-sooc/quan-sooc-o118t-sva1242.html#92=270;https://20again.vn/quan/quan-sooc.html
PRODUCT;;1;Áo sơmi dài tay ;Áo sơ mi;405000;1;;0;;;;;;;;20again;;;;;;;;100;1;;;;;;;;;;;;In Stock;;1;;;1;images/twentyAgain/full/3cc206888764a94f5101d03bfa145662e6ef933f.jpg;Áo sơmi dài tay ;0;;0;new;0;0;0;0;0;0;0;0;https://20again.vn/catalog/product/view/id/15124/s/Ao-somi-dai-tay-B119N-ASA1790/category/117/#92=263;https://20again.vn/ao/ao-so-mi.html
COMBINATION;;Size:select:1;Size:12;2/S;2/S;;;;405000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;4/M;4/M;;;;405000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;6/L;6/L;;;;405000;;;;;;;;;;;;;;
PRODUCT;;1;Quần shorts giả váy vạt lệch;Sản phẩm mới;355000;1;;0;;;;;;;;20again;;;;;;;;100;1;;;;;;;;;;;;In Stock;;1;;;1;images/twentyAgain/full/5cd9810872c78a119b0250af72beaf8fe676eab7.jpg;Quần shorts giả váy vạt lệch;0;;0;new;0;0;0;0;0;0;0;0;https://20again.vn/catalog/product/view/id/14589/s/Quan-shorts-nu-B119H-SGA1797/category/124/#92=261;https://20again.vn/quan/san-pham-moi.html
COMBINATION;;Size:select:1;Size:12;2/S;2/S;;;;355000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;4/M;4/M;;;;355000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;6/L;6/L;;;;355000;;;;;;;;;;;;;;
PRODUCT;;1;Quần shorts giả váy;Quần giả váy;325000;1;;0;;;;;;;;20again;;;;;;;;100;1;;;;;;;;;;;;In Stock;;1;;;1;images/twentyAgain/full/ba342a3b93caa88c3bdadfad6784a5b288425b46.jpg;Quần shorts giả váy;0;;0;new;0;0;0;0;0;0;0;0;https://20again.vn/catalog/product/view/id/13936/s/Quan-shorts-gia-vay-B119H-SGA1690/category/128/#92=263;https://20again.vn/quan/quan-gia-vay.html
