type;id;active;name;category;price_tex;id_tax_rules_group;wholesale_price;on_sale;reduction_price;reduction_percent;reduction_from;reduction_to;reference;supplier_reference;supplier;manufacturer;ean13;upc;ecotax;width;height;depth;weight;quantity;minimal_quantity;visibility;additional_shipping_cost;unity;unit_price;description_short;description;tags;meta_title;meta_keywords;meta_description;link_rewrite;available_now;available_later;available_for_order;available_date;date_add;show_price;image;image_alt;delete_existing_images;features;online_only;condition;customizable;uploadable_files;text_fields;out_of_stock;is_virtual;file_url;nb_downloadable;date_expiration;product_url;categories_url
import_type;id_product;product_reference;group;attribute;supplier_reference;reference;ean13;upc;wholesale_price;price;ecotax;quantity;minimal_quantity;low_stock_threshold;low_stock_alert;weight;default_on;available_date;image_position;image_url;image_alt;shop;advanced_stock_management
type;id;active;name;category;price_tex;id_tax_rules_group;wholesale_price;on_sale;reduction_price;reduction_percent;reduction_from;reduction_to;reference;supplier_reference;supplier;manufacturer;ean13;upc;ecotax;width;height;depth;weight;quantity;minimal_quantity;visibility;additional_shipping_cost;unity;unit_price;description_short;description;tags;meta_title;meta_keywords;meta_description;link_rewrite;available_now;available_later;available_for_order;available_date;date_add;show_price;image;image_alt;delete_existing_images;features;online_only;condition;customizable;uploadable_files;text_fields;out_of_stock;is_virtual;file_url;nb_downloadable;date_expiration;product_url;categories_url
import_type;id_product;product_reference;group;attribute;supplier_reference;reference;ean13;upc;wholesale_price;price;ecotax;quantity;minimal_quantity;low_stock_threshold;low_stock_alert;weight;default_on;available_date;image_position;image_url;image_alt;shop;advanced_stock_management
COMBINATION;;Size:select:1;Size:12;6/L;6/L;;;;539000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;8/XL;8/XL;;;;539000;;;;;;;;;;;;;;
PRODUCT;;1;Áo phao nam trần cong_Ghi đá(PHM201_GH);Nam,Áo phao nam (PHM);689000;1;;0;;;;;;;;Yody;;;;;;;;100;1;;;;;;;;;;;;In Stock;;1;;;1;images/yody/full/39aacfdd262561c84ca138b6831323367d89363e.jpg,images/yody/full/508db8f6221e747126b058ff5875f035ce0485cd.jpg,images/yody/full/6c949985230df30637dc71acd1e6a803879594e3.jpg;Áo phao nam trần cong_Ghi đá(PHM201_GH),Áo phao nam trần cong_Ghi đá(PHM201_GH),Áo phao nam trần cong_Ghi đá(PHM201_GH);0;;0;new;0;0;0;0;0;0;0;0;https://yody.vn/ao-phao-nam-tran-congghi-daphm201gh-p3490148.html;https://yody.vn/nam-pc42832.html,https://yody.vn/ao-phao-nam-phm-pc75232.html
COMBINATION;;Size:select:1;Size:12;2/S;2/S;;;;689000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;4/M;4/M;;;;689000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;6/L;6/L;;;;689000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;8/XL;8/XL;;;;689000;;;;;;;;;;;;;;
PRODUCT;;1;Bộ nỉ nam phối cổ_Tím than (BDM12_THM);Nam,Bộ quần áo nam (BDM);399000;1;;0;;;;;;;;Yody;;;;;;;;100;1;;;;;;Lưu ý sử dụng sản phẩm:;;;;;;In Stock;;1;;;1;images/yody/full/1cb0464deaca51d8cda4bb7078bf2c0366d42221.jpg,images/yody/full/34e895e748af95a38adc5fa6991ff92cfcd9edb3.jpg,images/yody/full/44838473c1c7f5f4f5268ba9d4e78be6370ca48b.jpg,images/yody/full/225e3d8e3bbbf835179d5658b75046cfc24d7549.jpg,images/yody/full/d322d492ba412db63a9291141201611e5a4d790c.jpg,images/yody/full/455890d2f46e9123c4fef9b3b1979f114e277020.jpg,images/yody/full/b45bab399a71f00511a23d040a7bedeebb0a9c69.jpg;Bộ nỉ nam phối cổ_Tím than (BDM12_THM),Bộ nỉ nam phối cổ_Tím than (BDM12_THM),Bộ nỉ nam phối cổ_Tím than (BDM12_THM),Bộ nỉ nam phối cổ_Tím than (BDM12_THM),Bộ nỉ nam phối cổ_Tím than (BDM12_THM),Bộ nỉ nam phối cổ_Tím than (BDM12_THM),Bộ nỉ nam phối cổ_Tím than (BDM12_THM);0;;0;new;0;0;0;0;0;0;0;0;https://yody.vn/bo-ni-nam-phoi-cotim-than-bdm12thm-p5447900.html;https://yody.vn/nam-pc42832.html,https://yody.vn/bo-quan-ao-nam-bdm-pc82957.html
COMBINATION;;Size:select:1;Size:12;2/S;2/S;;;;399000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;4/M;4/M;;;;399000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;6/L;6/L;;;;399000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;8/XL;8/XL;;;;399000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;10/XXL;10/XXL;;;;399000;;;;;;;;;;;;;;
PRODUCT;;1;Bộ nỉ nam phối cổ_Xám (BDM12_XAM);Nam,Bộ quần áo nam (BDM);399000;1;;0;;;;;;;;Yody;;;;;;;;100;1;;;;;;Lưu ý sử dụng sản phẩm:;;;;;;In Stock;;1;;;1;images/yody/full/9fd67790aa06330cee18aadf4b9df4b7b9747782.jpg,images/yody/full/0beacf9529ebe0cff5ee338a6ab60b005bb867d4.jpg,images/yody/full/c599e5717451c4fa0ec35f7efc967fb405bf5a15.jpg;Bộ nỉ nam phối cổ_Xám (BDM12_XAM),Bộ nỉ nam phối cổ_Xám (BDM12_XAM),Bộ nỉ nam phối cổ_Xám (BDM12_XAM);0;;0;new;0;0;0;0;0;0;0;0;https://yody.vn/bo-ni-nam-phoi-coxam-bdm12xam-p5447905.html;https://yody.vn/nam-pc42832.html,https://yody.vn/bo-quan-ao-nam-bdm-pc82957.html
COMBINATION;;Size:select:1;Size:12;2/S;2/S;;;;399000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;4/M;4/M;;;;399000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;6/L;6/L;;;;399000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;8/XL;8/XL;;;;399000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;10/XXL;10/XXL;;;;399000;;;;;;;;;;;;;;
PRODUCT;;1;Len nam cổ tròn 02_Đỏ đô;Nam,Áo len nam (ALM);489000;1;;0;;;;;;;;Yody;;;;;;;;100;1;;;;;;;;;;;;In Stock;;1;;;1;images/yody/full/3ea7b418e71ce6a53c6f0f129bbfeeaac0d26f3a.jpg,images/yody/full/1709c6f9baa44bcd867671f29e41e197112272e9.jpg,images/yody/full/dbd75d5d9dccdfe9826fb9017a949377c300108c.jpg,images/yody/full/ca6ba2937d95c449ad7871b09fb5ae69d35a7ac2.jpg,images/yody/full/5a93b17399c9baf68785cc29b003d755d8a91168.jpg,images/yody/full/1d3ded3e0d2817fd0d0865e679988b6046ca20fb.jpg;Len nam cổ tròn 02_Đỏ đô,Len nam cổ tròn 02_Đỏ đô,Len nam cổ tròn 02_Đỏ đô,Len nam cổ tròn 02_Đỏ đô,Len nam cổ tròn 02_Đỏ đô,Len nam cổ tròn 02_Đỏ đô;0;;0;new;0;0;0;0;0;0;0;0;https://yody.vn/len-nam-co-tron-02do-do-p8862261.html;https://yody.vn/nam-pc42832.html,https://yody.vn/ao-len-nam-alm-pc42837.html
COMBINATION;;Size:select:1;Size:12;4/M;4/M;;;;489000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;6/L;6/L;;;;489000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;8/XL;8/XL;;;;489000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;10/XXL;10/XXL;;;;489000;;;;;;;;;;;;;;
PRODUCT;;1;Len nam cổ lọ cơ bản_Navy;Nam,Áo len nam (ALM);399000;1;;0;;;;;;;;Yody;;;;;;;;100;1;;;;;;;;;;;;In Stock;;1;;;1;images/yody/full/a9b5414c1a9af35fc26043ff33e9e6688a58ab41.jpg,images/yody/full/5a7ee0c522d9fda16b5d86454aa6b039bc6df212.jpg,images/yody/full/63f98317b235f73bbe61b075402abb252819616d.jpg,images/yody/full/988ba3e2fd1bbe63b2d8b1e45aa6069539d7e52b.jpg;Len nam cổ lọ cơ bản_Navy,Len nam cổ lọ cơ bản_Navy,Len nam cổ lọ cơ bản_Navy,Len nam cổ lọ cơ bản_Navy;0;;0;new;0;0;0;0;0;0;0;0;https://yody.vn/len-nam-co-lo-co-bannavy-p7450732.html;https://yody.vn/nam-pc42832.html,https://yody.vn/ao-len-nam-alm-pc42837.html
